Observatory: Charters Towers     
yyyy-MM-dd HH:mm:ss,  X (nT),    Y (nT),   Z (nT),     H (nT),  F (nT),  D (Degrees), I (Degrees) 
2019-08-17 00:00:00,  31428.8,   4028.5,   -37503.9,  31686.0,  49097.3,  7.304,    -49.807
2019-08-17 00:01:00,  31428.9,   4028.4,   -37503.9,  31686.0,  49097.3,  7.304,    -49.806
2019-08-17 00:02:00,  31428.8,   4028.2,   -37503.8,  31685.9,  49097.2,  7.304,    -49.807
2019-08-17 00:03:00,  31428.8,   4028.1,   -37503.8,  31685.9,  49097.2,  7.304,    -49.806
2019-08-17 00:04:00,  31429.0,   4028.0,   -37503.8,  31686.0,  49097.2,  7.303,    -49.806
2019-08-17 00:05:00,  31429.1,   4028.0,   -37503.8,  31686.2,  49097.4,  7.303,    -49.806
2019-08-17 00:06:00,  31429.3,   4027.9,   -37503.8,  31686.4,  49097.5,  7.303,    -49.806
2019-08-17 00:07:00,  31429.5,   4028.0,   -37503.8,  31686.5,  49097.6,  7.303,    -49.806
2019-08-17 00:08:00,  31429.6,   4028.0,   -37503.7,  31686.7,  49097.6,  7.303,    -49.806
2019-08-17 00:09:00,  31429.6,   4028.0,   -37503.7,  31686.7,  49097.6,  7.303,    -49.806
2019-08-17 00:10:00,  31429.7,   4027.8,   -37503.6,  31686.7,  49097.6,  7.303,    -49.806
2019-08-17 00:11:00,  31429.8,   4027.9,   -37503.6,  31686.9,  49097.7,  7.303,    -49.805
2019-08-17 00:12:00,  31429.9,   4027.8,   -37503.6,  31686.9,  49097.7,  7.303,    -49.805
2019-08-17 00:13:00,  31430.0,   4027.8,   -37503.5,  31687.0,  49097.6,  7.303,    -49.805
2019-08-17 00:14:00,  31430.0,   4027.7,   -37503.5,  31687.1,  49097.6,  7.303,    -49.805
2019-08-17 00:15:00,  31430.1,   4027.7,   -37503.4,  31687.1,  49097.6,  7.303,    -49.805
2019-08-17 00:16:00,  31430.3,   4027.7,   -37503.3,  31687.3,  49097.7,  7.303,    -49.805
2019-08-17 00:17:00,  31430.3,   4027.7,   -37503.2,  31687.3,  49097.6,  7.303,    -49.805
2019-08-17 00:18:00,  31430.1,   4027.8,   -37503.1,  31687.2,  49097.4,  7.303,    -49.805
2019-08-17 00:19:00,  31430.1,   4027.8,   -37503.0,  31687.1,  49097.3,  7.303,    -49.805
2019-08-17 00:20:00,  31430.2,   4028.0,   -37502.9,  31687.2,  49097.4,  7.303,    -49.805
2019-08-17 00:21:00,  31430.2,   4028.0,   -37503.0,  31687.2,  49097.4,  7.303,    -49.805
2019-08-17 00:22:00,  31430.0,   4028.0,   -37502.9,  31687.0,  49097.2,  7.303,    -49.805
2019-08-17 00:23:00,  31429.6,   4028.0,   -37502.8,  31686.7,  49096.9,  7.303,    -49.805
2019-08-17 00:24:00,  31429.6,   4027.9,   -37502.7,  31686.6,  49096.8,  7.303,    -49.805
2019-08-17 00:25:00,  31429.5,   4027.8,   -37502.6,  31686.5,  49096.6,  7.303,    -49.805
2019-08-17 00:26:00,  31429.5,   4028.0,   -37502.5,  31686.6,  49096.6,  7.303,    -49.805
2019-08-17 00:27:00,  31429.6,   4028.0,   -37502.5,  31686.6,  49096.6,  7.303,    -49.805
2019-08-17 00:28:00,  31429.2,   4027.8,   -37502.4,  31686.2,  49096.3,  7.303,    -49.805
2019-08-17 00:29:00,  31428.8,   4027.6,   -37502.2,  31685.9,  49095.9,  7.303,    -49.805
2019-08-17 00:30:00,  31428.8,   4027.5,   -37502.1,  31685.8,  49095.8,  7.303,    -49.805
2019-08-17 00:31:00,  31428.8,   4027.4,   -37502.1,  31685.8,  49095.8,  7.302,    -49.805
2019-08-17 00:32:00,  31428.8,   4027.2,   -37501.9,  31685.8,  49095.7,  7.302,    -49.805
2019-08-17 00:33:00,  31428.9,   4027.2,   -37501.9,  31685.9,  49095.7,  7.302,    -49.805
2019-08-17 00:34:00,  31429.1,   4027.0,   -37501.8,  31686.0,  49095.7,  7.301,    -49.805
2019-08-17 00:35:00,  31429.2,   4026.9,   -37501.7,  31686.1,  49095.7,  7.301,    -49.805
2019-08-17 00:36:00,  31429.2,   4026.8,   -37501.7,  31686.1,  49095.7,  7.301,    -49.805
2019-08-17 00:37:00,  31429.3,   4026.6,   -37501.6,  31686.2,  49095.6,  7.301,    -49.805
2019-08-17 00:38:00,  31429.3,   4026.4,   -37501.4,  31686.2,  49095.5,  7.300,    -49.804
2019-08-17 00:39:00,  31429.4,   4026.2,   -37501.3,  31686.3,  49095.5,  7.300,    -49.804
2019-08-17 00:40:00,  31429.6,   4026.1,   -37501.2,  31686.4,  49095.5,  7.300,    -49.804
2019-08-17 00:41:00,  31430.0,   4026.2,   -37501.1,  31686.8,  49095.7,  7.300,    -49.804
2019-08-17 00:42:00,  31430.1,   4026.1,   -37501.0,  31686.9,  49095.7,  7.300,    -49.803
2019-08-17 00:43:00,  31430.0,   4026.0,   -37500.9,  31686.8,  49095.5,  7.300,    -49.803
2019-08-17 00:44:00,  31430.0,   4026.0,   -37500.8,  31686.8,  49095.4,  7.299,    -49.803
2019-08-17 00:45:00,  31430.0,   4026.0,   -37500.6,  31686.8,  49095.3,  7.300,    -49.803
2019-08-17 00:46:00,  31429.9,   4026.1,   -37500.6,  31686.8,  49095.3,  7.300,    -49.803
2019-08-17 00:47:00,  31429.8,   4026.0,   -37500.5,  31686.6,  49095.0,  7.299,    -49.803
2019-08-17 00:48:00,  31429.6,   4025.8,   -37500.3,  31686.3,  49094.8,  7.299,    -49.803
2019-08-17 00:49:00,  31429.5,   4025.7,   -37500.2,  31686.2,  49094.7,  7.299,    -49.804
2019-08-17 00:50:00,  31429.4,   4025.6,   -37500.1,  31686.1,  49094.5,  7.299,    -49.803
2019-08-17 00:51:00,  31429.4,   4025.5,   -37500.0,  31686.1,  49094.4,  7.299,    -49.803
2019-08-17 00:52:00,  31429.3,   4025.4,   -37499.8,  31686.0,  49094.2,  7.299,    -49.803
2019-08-17 00:53:00,  31429.2,   4025.4,   -37499.7,  31685.9,  49094.1,  7.299,    -49.803
2019-08-17 00:54:00,  31429.1,   4025.4,   -37499.6,  31685.9,  49094.0,  7.299,    -49.803
2019-08-17 00:55:00,  31429.0,   4025.4,   -37499.6,  31685.8,  49093.8,  7.299,    -49.803
2019-08-17 00:56:00,  31428.9,   4025.3,   -37499.4,  31685.6,  49093.6,  7.299,    -49.803
2019-08-17 00:57:00,  31428.8,   4025.3,   -37499.3,  31685.5,  49093.5,  7.298,    -49.803
2019-08-17 00:58:00,  31428.7,   4025.2,   -37499.2,  31685.4,  49093.4,  7.298,    -49.803
2019-08-17 00:59:00,  31428.6,   4025.1,   -37499.1,  31685.3,  49093.2,  7.298,    -49.803
2019-08-17 01:00:00,  31428.5,   4025.0,   -37499.0,  31685.2,  49093.0,  7.298,    -49.804
2019-08-17 01:01:00,  31428.4,   4025.0,   -37498.9,  31685.1,  49092.9,  7.298,    -49.804
2019-08-17 01:02:00,  31428.4,   4025.0,   -37498.8,  31685.1,  49092.8,  7.298,    -49.803
2019-08-17 01:03:00,  31428.3,   4025.1,   -37498.6,  31685.0,  49092.7,  7.298,    -49.803
2019-08-17 01:04:00,  31428.3,   4025.1,   -37498.6,  31685.0,  49092.6,  7.298,    -49.803
2019-08-17 01:05:00,  31427.9,   4025.0,   -37498.4,  31684.6,  49092.2,  7.298,    -49.804
2019-08-17 01:06:00,  31427.7,   4025.0,   -37498.3,  31684.4,  49092.0,  7.298,    -49.804
2019-08-17 01:07:00,  31427.5,   4025.0,   -37498.3,  31684.2,  49091.9,  7.298,    -49.804
2019-08-17 01:08:00,  31427.4,   4024.9,   -37498.2,  31684.1,  49091.7,  7.298,    -49.804
2019-08-17 01:09:00,  31427.3,   4024.9,   -37498.1,  31683.9,  49091.5,  7.298,    -49.804
2019-08-17 01:10:00,  31427.2,   4024.8,   -37498.1,  31683.9,  49091.5,  7.298,    -49.804
2019-08-17 01:11:00,  31427.3,   4024.7,   -37498.0,  31683.9,  49091.5,  7.298,    -49.804
2019-08-17 01:12:00,  31427.2,   4024.6,   -37497.9,  31683.9,  49091.4,  7.298,    -49.804
2019-08-17 01:13:00,  31427.2,   4024.5,   -37497.8,  31683.9,  49091.3,  7.298,    -49.804
2019-08-17 01:14:00,  31427.2,   4024.5,   -37497.6,  31683.9,  49091.1,  7.297,    -49.804
2019-08-17 01:15:00,  31427.2,   4024.6,   -37497.6,  31683.9,  49091.1,  7.298,    -49.804
2019-08-17 01:16:00,  31427.2,   4024.6,   -37497.5,  31683.9,  49091.0,  7.298,    -49.804
2019-08-17 01:17:00,  31427.2,   4024.7,   -37497.4,  31683.9,  49091.0,  7.298,    -49.803
2019-08-17 01:18:00,  31427.3,   4025.0,   -37497.2,  31684.0,  49090.9,  7.298,    -49.803
2019-08-17 01:19:00,  31427.3,   4025.1,   -37497.1,  31684.0,  49090.8,  7.298,    -49.803
2019-08-17 01:20:00,  31427.2,   4025.1,   -37497.0,  31683.9,  49090.7,  7.298,    -49.803
2019-08-17 01:21:00,  31427.1,   4024.9,   -37496.9,  31683.7,  49090.5,  7.298,    -49.803
2019-08-17 01:22:00,  31427.1,   4024.8,   -37496.7,  31683.7,  49090.4,  7.298,    -49.803
2019-08-17 01:23:00,  31427.3,   4024.8,   -37496.6,  31684.0,  49090.4,  7.298,    -49.803
2019-08-17 01:24:00,  31427.3,   4024.6,   -37496.5,  31683.9,  49090.3,  7.298,    -49.803
2019-08-17 01:25:00,  31427.4,   4024.5,   -37496.3,  31684.1,  49090.3,  7.297,    -49.802
2019-08-17 01:26:00,  31427.6,   4024.4,   -37496.2,  31684.2,  49090.3,  7.297,    -49.802
2019-08-17 01:27:00,  31427.7,   4024.2,   -37496.1,  31684.3,  49090.2,  7.297,    -49.802
2019-08-17 01:28:00,  31428.0,   4024.2,   -37495.9,  31684.6,  49090.3,  7.297,    -49.802
2019-08-17 01:29:00,  31428.3,   4024.1,   -37495.8,  31684.9,  49090.4,  7.296,    -49.801
2019-08-17 01:30:00,  31428.6,   4024.1,   -37495.7,  31685.2,  49090.5,  7.296,    -49.801
2019-08-17 01:31:00,  31428.7,   4024.1,   -37495.6,  31685.3,  49090.5,  7.296,    -49.801
2019-08-17 01:32:00,  31428.8,   4024.2,   -37495.4,  31685.4,  49090.5,  7.296,    -49.801
2019-08-17 01:33:00,  31429.0,   4024.2,   -37495.3,  31685.6,  49090.5,  7.296,    -49.800
2019-08-17 01:34:00,  31429.1,   4024.2,   -37495.2,  31685.7,  49090.5,  7.296,    -49.800
2019-08-17 01:35:00,  31429.4,   4024.2,   -37495.2,  31686.0,  49090.6,  7.296,    -49.800
2019-08-17 01:36:00,  31429.5,   4024.2,   -37495.0,  31686.1,  49090.6,  7.296,    -49.800
2019-08-17 01:37:00,  31429.7,   4024.2,   -37495.0,  31686.3,  49090.6,  7.296,    -49.799
2019-08-17 01:38:00,  31429.9,   4024.2,   -37494.9,  31686.4,  49090.7,  7.296,    -49.799
2019-08-17 01:39:00,  31430.0,   4024.1,   -37494.7,  31686.5,  49090.6,  7.296,    -49.799
2019-08-17 01:40:00,  31430.1,   4024.0,   -37494.6,  31686.6,  49090.6,  7.296,    -49.799
2019-08-17 01:41:00,  31430.2,   4024.0,   -37494.5,  31686.8,  49090.6,  7.296,    -49.799
