Observatory: Charters Towers     
yyyy-MM-dd HH:mm:ss,  X (nT),    Y (nT),   Z (nT),     H (nT),  F (nT),  D (Degrees), I (Degrees) 
2019-09-01 00:00:00,  31418.4,   4019.2,   -37509.2,  31674.4,  49093.9,  7.290,    -49.821
2019-09-01 00:01:00,  31419.2,   4020.3,   -37509.2,  31675.4,  49094.5,  7.292,    -49.820
2019-09-01 00:02:00,  31418.2,   4021.3,   -37509.3,  31674.5,  49094.0,  7.294,    -49.821
2019-09-01 00:03:00,  31418.1,   4021.1,   -37509.2,  31674.4,  49093.9,  7.293,    -49.821
2019-09-01 00:04:00,  31417.8,   4021.2,   -37509.2,  31674.1,  49093.7,  7.294,    -49.821
2019-09-01 00:05:00,  31416.4,   4021.7,   -37509.3,  31672.8,  49092.9,  7.295,    -49.822
2019-09-01 00:06:00,  31416.2,   4021.3,   -37509.4,  31672.5,  49092.8,  7.294,    -49.823
2019-09-01 00:07:00,  31416.8,   4021.3,   -37509.5,  31673.2,  49093.3,  7.294,    -49.822
2019-09-01 00:08:00,  31416.4,   4021.3,   -37509.5,  31672.7,  49093.0,  7.294,    -49.823
2019-09-01 00:09:00,  31417.5,   4021.1,   -37509.7,  31673.7,  49093.8,  7.294,    -49.822
2019-09-01 00:10:00,  31417.0,   4021.2,   -37509.8,  31673.3,  49093.7,  7.294,    -49.822
2019-09-01 00:11:00,  31416.0,   4020.9,   -37509.8,  31672.2,  49092.9,  7.294,    -49.823
2019-09-01 00:12:00,  31415.9,   4020.8,   -37509.9,  31672.2,  49093.0,  7.294,    -49.823
2019-09-01 00:13:00,  31416.1,   4020.2,   -37510.0,  31672.2,  49093.1,  7.292,    -49.823
2019-09-01 00:14:00,  31416.2,   4019.2,   -37510.0,  31672.3,  49093.1,  7.291,    -49.823
2019-09-01 00:15:00,  31417.2,   4017.9,   -37509.9,  31673.0,  49093.5,  7.288,    -49.823
2019-09-01 00:16:00,  31417.1,   4017.5,   -37509.8,  31673.0,  49093.4,  7.287,    -49.823
2019-09-01 00:17:00,  31416.0,   4017.0,   -37509.7,  31671.8,  49092.6,  7.287,    -49.823
2019-09-01 00:18:00,  31415.6,   4016.6,   -37509.5,  31671.3,  49092.1,  7.286,    -49.824
2019-09-01 00:19:00,  31414.3,   4016.9,   -37509.4,  31670.1,  49091.2,  7.287,    -49.825
2019-09-01 00:20:00,  31413.7,   4016.8,   -37509.2,  31669.5,  49090.7,  7.287,    -49.825
2019-09-01 00:21:00,  31413.9,   4016.4,   -37509.2,  31669.6,  49090.8,  7.286,    -49.825
2019-09-01 00:22:00,  31413.5,   4015.8,   -37509.1,  31669.1,  49090.4,  7.285,    -49.825
2019-09-01 00:23:00,  31414.0,   4016.0,   -37509.1,  31669.7,  49090.7,  7.285,    -49.825
2019-09-01 00:24:00,  31413.6,   4016.6,   -37509.0,  31669.3,  49090.5,  7.286,    -49.825
2019-09-01 00:25:00,  31413.7,   4016.7,   -37509.0,  31669.5,  49090.6,  7.287,    -49.825
2019-09-01 00:26:00,  31413.7,   4016.4,   -37509.1,  31669.4,  49090.6,  7.286,    -49.825
2019-09-01 00:27:00,  31414.2,   4016.5,   -37509.0,  31669.9,  49090.8,  7.286,    -49.825
2019-09-01 00:28:00,  31413.8,   4016.8,   -37509.0,  31669.5,  49090.6,  7.287,    -49.825
2019-09-01 00:29:00,  31413.2,   4017.0,   -37509.0,  31669.0,  49090.3,  7.287,    -49.826
2019-09-01 00:30:00,  31412.7,   4016.4,   -37509.0,  31668.4,  49089.8,  7.286,    -49.826
2019-09-01 00:31:00,  31412.1,   4016.0,   -37508.9,  31667.8,  49089.3,  7.286,    -49.826
2019-09-01 00:32:00,  31411.3,   4016.0,   -37508.7,  31666.9,  49088.7,  7.286,    -49.827
2019-09-01 00:33:00,  31410.7,   4015.9,   -37508.6,  31666.4,  49088.2,  7.286,    -49.827
2019-09-01 00:34:00,  31410.6,   4016.2,   -37508.5,  31666.3,  49088.1,  7.286,    -49.828
2019-09-01 00:35:00,  31409.9,   4015.4,   -37508.4,  31665.5,  49087.5,  7.285,    -49.828
2019-09-01 00:36:00,  31409.7,   4015.3,   -37508.3,  31665.3,  49087.3,  7.285,    -49.828
2019-09-01 00:37:00,  31409.4,   4015.3,   -37508.2,  31665.0,  49087.0,  7.285,    -49.828
2019-09-01 00:38:00,  31409.4,   4015.1,   -37508.2,  31665.0,  49087.0,  7.285,    -49.828
2019-09-01 00:39:00,  31408.8,   4014.8,   -37508.1,  31664.3,  49086.5,  7.284,    -49.829
2019-09-01 00:40:00,  31408.3,   4014.6,   -37508.0,  31663.8,  49086.1,  7.284,    -49.829
2019-09-01 00:41:00,  31408.0,   4014.8,   -37508.0,  31663.6,  49085.9,  7.285,    -49.830
2019-09-01 00:42:00,  31407.9,   4014.4,   -37507.8,  31663.4,  49085.7,  7.284,    -49.830
2019-09-01 00:43:00,  31408.2,   4014.3,   -37507.8,  31663.7,  49085.9,  7.284,    -49.829
2019-09-01 00:44:00,  31407.5,   4013.9,   -37507.7,  31663.0,  49085.4,  7.283,    -49.830
2019-09-01 00:45:00,  31406.8,   4013.0,   -37507.5,  31662.1,  49084.6,  7.281,    -49.830
2019-09-01 00:46:00,  31407.0,   4013.0,   -37507.3,  31662.3,  49084.7,  7.282,    -49.830
2019-09-01 00:47:00,  31406.5,   4013.3,   -37507.2,  31661.8,  49084.2,  7.282,    -49.830
2019-09-01 00:48:00,  31406.2,   4013.6,   -37507.1,  31661.6,  49084.0,  7.283,    -49.831
2019-09-01 00:49:00,  31406.2,   4013.4,   -37507.0,  31661.6,  49083.9,  7.282,    -49.831
2019-09-01 00:50:00,  31406.0,   4013.4,   -37506.8,  31661.4,  49083.7,  7.282,    -49.831
2019-09-01 00:51:00,  31405.8,   4013.4,   -37506.7,  31661.3,  49083.5,  7.282,    -49.831
2019-09-01 00:52:00,  31405.7,   4013.5,   -37506.7,  31661.1,  49083.3,  7.283,    -49.831
2019-09-01 00:53:00,  31404.7,   4013.3,   -37506.5,  31660.1,  49082.6,  7.283,    -49.832
2019-09-01 00:54:00,  31404.6,   4013.2,   -37506.3,  31659.9,  49082.4,  7.282,    -49.832
2019-09-01 00:55:00,  31404.5,   4012.9,   -37506.2,  31659.8,  49082.2,  7.282,    -49.832
2019-09-01 00:56:00,  31404.5,   4012.6,   -37506.1,  31659.8,  49082.1,  7.281,    -49.832
2019-09-01 00:57:00,  31404.8,   4012.4,   -37506.0,  31660.1,  49082.2,  7.281,    -49.831
2019-09-01 00:58:00,  31404.4,   4012.0,   -37505.8,  31659.6,  49081.7,  7.280,    -49.831
2019-09-01 00:59:00,  31404.7,   4012.0,   -37505.7,  31659.9,  49081.8,  7.280,    -49.831
2019-09-01 01:00:00,  31404.0,   4012.0,   -37505.5,  31659.2,  49081.3,  7.280,    -49.832
2019-09-01 01:01:00,  31403.3,   4012.0,   -37505.2,  31658.6,  49080.6,  7.281,    -49.832
2019-09-01 01:02:00,  31403.3,   4012.3,   -37505.1,  31658.6,  49080.5,  7.281,    -49.832
2019-09-01 01:03:00,  31403.5,   4012.2,   -37505.0,  31658.7,  49080.5,  7.281,    -49.832
2019-09-01 01:04:00,  31403.1,   4012.0,   -37504.8,  31658.4,  49080.1,  7.281,    -49.832
2019-09-01 01:05:00,  31402.0,   4011.5,   -37504.4,  31657.2,  49079.1,  7.280,    -49.833
2019-09-01 01:06:00,  31402.3,   4011.4,   -37504.1,  31657.5,  49079.1,  7.280,    -49.832
2019-09-01 01:07:00,  31402.7,   4011.2,   -37503.9,  31657.9,  49079.2,  7.279,    -49.832
2019-09-01 01:08:00,  31402.3,   4011.2,   -37503.8,  31657.5,  49078.8,  7.279,    -49.832
2019-09-01 01:09:00,  31402.7,   4011.0,   -37503.5,  31657.8,  49078.8,  7.279,    -49.831
2019-09-01 01:10:00,  31403.3,   4010.7,   -37503.4,  31658.4,  49079.1,  7.278,    -49.831
2019-09-01 01:11:00,  31403.7,   4010.9,   -37503.1,  31658.8,  49079.2,  7.278,    -49.830
2019-09-01 01:12:00,  31403.2,   4011.5,   -37503.0,  31658.4,  49078.8,  7.280,    -49.830
2019-09-01 01:13:00,  31403.7,   4012.1,   -37502.8,  31659.0,  49079.1,  7.281,    -49.830
2019-09-01 01:14:00,  31404.6,   4012.3,   -37502.8,  31659.9,  49079.6,  7.281,    -49.829
2019-09-01 01:15:00,  31405.0,   4012.2,   -37502.7,  31660.2,  49079.7,  7.281,    -49.829
2019-09-01 01:16:00,  31406.4,   4011.4,   -37502.5,  31661.5,  49080.5,  7.279,    -49.827
2019-09-01 01:17:00,  31406.8,   4011.1,   -37502.4,  31661.9,  49080.6,  7.278,    -49.827
2019-09-01 01:18:00,  31407.0,   4011.3,   -37502.2,  31662.1,  49080.6,  7.278,    -49.826
2019-09-01 01:19:00,  31408.6,   4011.2,   -37502.1,  31663.7,  49081.5,  7.278,    -49.825
2019-09-01 01:20:00,  31408.6,   4011.4,   -37502.0,  31663.7,  49081.5,  7.278,    -49.825
2019-09-01 01:21:00,  31408.7,   4011.4,   -37501.8,  31663.8,  49081.4,  7.278,    -49.825
2019-09-01 01:22:00,  31408.9,   4011.7,   -37501.7,  31664.1,  49081.5,  7.279,    -49.824
2019-09-01 01:23:00,  31408.8,   4011.5,   -37501.5,  31664.0,  49081.2,  7.278,    -49.824
2019-09-01 01:24:00,  31408.4,   4012.7,   -37501.3,  31663.6,  49080.9,  7.281,    -49.824
2019-09-01 01:25:00,  31407.1,   4013.0,   -37501.3,  31662.5,  49080.1,  7.282,    -49.825
2019-09-01 01:26:00,  31405.6,   4012.5,   -37501.1,  31660.9,  49079.0,  7.281,    -49.827
2019-09-01 01:27:00,  31406.1,   4012.0,   -37500.9,  31661.3,  49079.1,  7.280,    -49.826
2019-09-01 01:28:00,  31406.8,   4011.6,   -37500.9,  31661.9,  49079.5,  7.279,    -49.826
2019-09-01 01:29:00,  31406.6,   4011.2,   -37500.7,  31661.7,  49079.2,  7.278,    -49.826
2019-09-01 01:30:00,  31407.4,   4011.8,   -37500.7,  31662.6,  49079.7,  7.279,    -49.825
2019-09-01 01:31:00,  31407.2,   4012.5,   -37500.6,  31662.5,  49079.6,  7.281,    -49.825
2019-09-01 01:32:00,  31406.0,   4012.5,   -37500.5,  31661.2,  49078.7,  7.281,    -49.826
2019-09-01 01:33:00,  31407.1,   4011.9,   -37500.4,  31662.3,  49079.4,  7.279,    -49.825
2019-09-01 01:34:00,  31409.0,   4011.2,   -37500.4,  31664.1,  49080.5,  7.278,    -49.823
2019-09-01 01:35:00,  31409.4,   4010.9,   -37500.3,  31664.5,  49080.7,  7.277,    -49.823
