Observatory: Charters Towers     
yyyy-MM-dd HH:mm:ss,  X (nT),    Y (nT),   Z (nT),     H (nT),  F (nT),  D (Degrees), I (Degrees) 
2019-08-28 00:00:00,  31415.9,   4025.1,   -37507.4,  31672.7,  49091.4,  7.301,    -49.821
2019-08-28 00:01:00,  31416.4,   4025.0,   -37507.3,  31673.2,  49091.6,  7.301,    -49.820
2019-08-28 00:02:00,  31417.3,   4024.8,   -37507.2,  31674.0,  49092.1,  7.300,    -49.820
2019-08-28 00:03:00,  31417.6,   4024.3,   -37507.0,  31674.3,  49092.2,  7.299,    -49.819
2019-08-28 00:04:00,  31418.2,   4023.7,   -37506.8,  31674.8,  49092.3,  7.298,    -49.819
2019-08-28 00:05:00,  31418.0,   4023.1,   -37506.5,  31674.6,  49091.9,  7.297,    -49.819
2019-08-28 00:06:00,  31417.9,   4022.9,   -37506.3,  31674.5,  49091.7,  7.297,    -49.819
2019-08-28 00:07:00,  31418.1,   4022.8,   -37506.1,  31674.6,  49091.6,  7.297,    -49.818
2019-08-28 00:08:00,  31418.2,   4022.8,   -37505.8,  31674.7,  49091.5,  7.296,    -49.818
2019-08-28 00:09:00,  31418.6,   4022.7,   -37505.7,  31675.1,  49091.6,  7.296,    -49.818
2019-08-28 00:10:00,  31418.8,   4022.8,   -37505.5,  31675.3,  49091.6,  7.296,    -49.817
2019-08-28 00:11:00,  31418.9,   4022.9,   -37505.3,  31675.4,  49091.6,  7.297,    -49.817
2019-08-28 00:12:00,  31419.0,   4022.9,   -37505.1,  31675.5,  49091.5,  7.296,    -49.817
2019-08-28 00:13:00,  31418.7,   4023.0,   -37505.0,  31675.2,  49091.1,  7.297,    -49.817
2019-08-28 00:14:00,  31418.4,   4023.2,   -37504.8,  31674.9,  49090.9,  7.297,    -49.817
2019-08-28 00:15:00,  31418.6,   4023.3,   -37504.7,  31675.2,  49090.9,  7.297,    -49.817
2019-08-28 00:16:00,  31419.1,   4023.2,   -37504.6,  31675.6,  49091.1,  7.297,    -49.816
2019-08-28 00:17:00,  31419.5,   4023.1,   -37504.4,  31676.0,  49091.2,  7.297,    -49.816
2019-08-28 00:18:00,  31419.9,   4023.0,   -37504.2,  31676.4,  49091.3,  7.297,    -49.815
2019-08-28 00:19:00,  31420.0,   4023.2,   -37504.1,  31676.6,  49091.4,  7.297,    -49.815
2019-08-28 00:20:00,  31420.1,   4023.2,   -37504.0,  31676.6,  49091.3,  7.297,    -49.815
2019-08-28 00:21:00,  31419.9,   4023.2,   -37503.8,  31676.4,  49091.0,  7.297,    -49.815
2019-08-28 00:22:00,  31419.8,   4023.3,   -37503.6,  31676.3,  49090.8,  7.297,    -49.815
2019-08-28 00:23:00,  31419.2,   4023.4,   -37503.4,  31675.8,  49090.3,  7.297,    -49.815
2019-08-28 00:24:00,  31418.6,   4023.5,   -37503.2,  31675.2,  49089.8,  7.298,    -49.816
2019-08-28 00:25:00,  31418.0,   4023.6,   -37503.0,  31674.6,  49089.3,  7.298,    -49.816
2019-08-28 00:26:00,  31417.8,   4023.6,   -37502.9,  31674.4,  49089.1,  7.298,    -49.816
2019-08-28 00:27:00,  31417.6,   4023.6,   -37502.8,  31674.2,  49088.9,  7.298,    -49.816
2019-08-28 00:28:00,  31417.7,   4023.7,   -37502.7,  31674.3,  49088.9,  7.298,    -49.816
2019-08-28 00:29:00,  31417.8,   4023.9,   -37502.7,  31674.5,  49088.9,  7.298,    -49.816
